date,tourism,USD
Januari 1998,387305,10050
Februari 1998,348520,8950
Maret 1998,364912,8700
Apr-98,380825,8000
Mei 1998,312397,11450
Juni 1998,320716,14800
Juli 1998,394754,13150
Agustus 1998,451480,11050
Sep-98,411236,10700
Oktober 1998,430988,7600
Nov-98,387109,7438
Desember 1998,416174,8000
Januari 1999,360051,8850
Februari 1999,358857,8800
Maret 1999,413740,8650
Apr-99,369520,8018
Mei 1999,361200,8115
Juni 1999,372293,6705
Juli 1999,463168,6880
Agustus 1999,433760,7675
Sep-99,416529,8300
Oktober 1999,388256,6825
Nov-99,400483,7315
Desember 1999,389663,6988
Januari 2000,356090,7445
Februari 2000,397548,7435
Maret 2000,413502,7570
Apr-00,408239,7925
Mei 2000,370474,8645
Juni 2000,424277,8760
Juli 2000,464278,8925
Agustus 2000,455967,8325
Sep-00,457683,8760
Oktober 2000,448696,9348
Nov-00,439905,9530
Desember 2000,427558,9675
Januari 2001,395511,9450
Februari 2001,372743,9865
Maret 2001,427878,10418
Apr-01,423268,11600
Mei 2001,454259,11125
Juni 2001,474527,11390
Juli 2001,478515,9500
Agustus 2001,487169,8863
Sep-01,470667,9708
Oktober 2001,391119,10475
Nov-01,388739,10465
Desember 2001,389225,10400
Januari 2002,372678,10315
Februari 2002,392683,10150
Maret 2002,449151,9825
Apr-02,409802,9330
Mei 2002,444173,8698
Juni 2002,454029,8713
Juli 2002,486749,9065
Agustus 2002,503447,8855
Sep-02,461135,8994
Oktober 2002,382004,9230
Nov-02,318442,8978
Desember 2002,359107,8950
Januari 2003,340972,8870
Februari 2003,355345,8884
Maret 2003,353877,8902
Apr-03,249491,8674
Mei 2003,268959,8310
Juni 2003,371642,8250
Juli 2003,431512,8510
Agustus 2003,441144,8485
Sep-03,411791,8395
Oktober 2003,424965,8497
Nov-03,372261,8505
Desember 2003,445062,8423
Januari 2004,426465,8459
Februari 2004,379614,8455
Maret 2004,410128,8564
Apr-04,383693,8783
Mei 2004,434792,9268
Juni 2004,477017,9395
Juli 2004,488096,9142
Agustus 2004,519615,9368
Sep-04,466500,9150
Oktober 2004,449865,9088
Nov-04,392821,9000
Desember 2004,492559,9283
Januari 2005,417237,9165
Februari 2005,382614,9265
Maret 2005,419390,9471
Apr-05,405952,9570
Mei 2005,419747,9518
Juni 2005,448593,9760
Juli 2005,483681,9805
Agustus 2005,474235,10300
Sep-05,464957,10300
Oktober 2005,342605,10123
Nov-05,342119,10025
Desember 2005,400971,9830
Januari 2006,363808,9370
Februari 2006,326796,9183
Maret 2006,385802,9087
Apr-06,401374,8785
Mei 2006,409058,9255
Juni 2006,440139,9263
Juli 2006,442457,9095
Agustus 2006,422939,9117
Sep-06,407433,9205
Oktober 2006,362634,9094
Nov-06,437370,9165
Desember 2006,471541,8994
Januari 2007,386453,9100
Februari 2007,385434,9132
Maret 2007,443099,9120
Apr-07,439365,9088
Mei 2007,447017,8827
Juni 2007,498089,9035
Juli 2007,514640,9225
Agustus 2007,495952,9390
Sep-07,463934,9145
Oktober 2007,436298,9098
Nov-07,476782,9370
Desember 2007,518696,9393
Januari 2008,437966,9247
Februari 2008,465449,9065
Maret 2008,502041,9215
Apr-08,459129,9222
Mei 2008,508955,9315
Juni 2008,529064,9220
Juli 2008,567364,9095
Agustus 2008,599506,9150
Sep-08,501018,9415
Oktober 2008,529391,10900
Nov-08,524162,12025
Desember 2008,610452,10900
Januari 2009,473165,11380
Februari 2009,421555,11980
Maret 2009,511314,11555
Apr-09,487121,10585
Mei 2009,521735,10290
Juni 2009,550582,10208
Juli 2009,593415,9925
Agustus 2009,566797,10080
Sep-09,493799,9645
Oktober 2009,547159,9550
Nov-09,531669,9455
Desember 2009,625419,9425
Januari 2010,493799,9350
Februari 2010,523135,9337
Maret 2010,594242,9090
Apr-10,555915,9013
Mei 2010,600031,9175
Juni 2010,613422,9060
Juli 2010,658476,8940
Agustus 2010,586530,9035
Sep-10,560367,8925
Oktober 2010,594654,8938
Nov-10,578152,9034
Desember 2010,644221,9010
Januari 2011,548821,9048
Februari 2011,568057,8822
Maret 2011,598068,8708
Apr-11,608093,8564
Mei 2011,600191,8536
Juni 2011,674402,8577
Juli 2011,745451,8500
Agustus 2011,621084,8533
Sep-11,650071,8790
Oktober 2011,656006,8853
Nov-11,654948,9110
Desember 2011,724539,9068
Januari 2012,652692,8990
Februari 2012,592502,9020
Maret 2012,658602,9144
Apr-12,626100,9191
Mei 2012,650883,9400
Juni 2012,695531,9393
Juli 2012,701200,9445
Agustus 2012,634194,9535
Sep-12,683584,9570
Oktober 2012,688341,9605
Nov-12,693867,9594
Desember 2012,766966,9638
Januari 2013,614328,9763
Februari 2013,678415,9664
Maret 2013,725316,9718
Apr-13,646117,9723
Mei 2013,700708,9795
Juni 2013,789594,9925
Juli 2013,717784,10278
Agustus 2013,771009,10920
Sep-13,770878,11580
Oktober 2013,719903,11273
Nov-13,807422,11963
Desember 2013,860655,12170
Januari 2014,753079,12210
Februari 2014,702666,11609
Maret 2014,765607,11360
Apr-14,726332,11562
Mei 2014,752363,11675
Juni 2014,851475,11855
Juli 2014,777210,11578
Agustus 2014,826821,11690
Sep-14,791296,12185
Oktober 2014,808767,12085
Nov-14,764461,12204
Desember 2014,915334,12385
Januari 2015,671939,12668
Februari 2015,743498,12925
Maret 2015,739821,13075
Apr-15,708818,12963
Mei 2015,751627,13224
Juni 2015,778056,13333
Juli 2015,775552,13528
Agustus 2015,813185,14050
Sep-15,822922,14650
Oktober 2015,790162,13688
Nov-15,723069,13835
Desember 2015,862556,13788
Januari 2016,742448,13775
Februari 2016,812954,13372
Maret 2016,853223,13260
Apr-16,856631,13185
Mei 2016,868870,13660
Juni 2016,814057,13213
Juli 2016,967910,13099
Agustus 2016,985904,13268
Sep-16,960345,13051
Oktober 2016,912414,13048
Nov-16,853945,13553
Desember 2016,960270,13473
